year,country,ann_prod,coc,rol,ps,xmp_gdp,ta_price,coc_og,rol_og,ps_og
2002,RWA,63,2.08,1.64,0.85,0,80.5,-0.42,-0.86,-1.65
2003,RWA,53,2.03,1.7,1.39,0,80.2,-0.47,-0.8,-1.11
2004,RWA,47,2.06,1.68,1.31,0,80.0,-0.44,-0.82,-1.19
2005,RWA,61,1.88,1.58,1.5,0,94.0,-0.62,-0.92,-1
2006,RWA,87,2.29,1.82,1.82,0,87.5,-0.21,-0.68,-0.68
2007,RWA,172,2.5,1.92,2.14,0,100.0,0,-0.58,-0.36
2008,RWA,242,2.6,2.02,2.18,0,118.0,0.1,-0.48,-0.32
2009,RWA,261,2.59,2,1.99,0,108.0,0.09,-0.5,-0.51
2010,RWA,200,2.85,2.17,2.23,0,146.0,0.35,-0.33,-0.27
2011,RWA,291,2.86,2.19,2.32,0,336.0,0.36,-0.31,-0.18
2012,RWA,311,3.06,2.23,2.27,0,292.0,0.56,-0.27,-0.23
2013,RWA,600,3.13,2.35,2.39,0,318.0,0.63,-0.15,-0.11
2014,RWA,600,3.26,2.56,2.19,0,269.0,0.76,0.06,-0.31
2002,MOZ,10.6,1.99,1.86,2.69,0,80.5,-0.51,-0.64,0.19
2003,MOZ,38.6,1.9,1.83,2.75,0,80.2,-0.6,-0.67,0.25
2004,MOZ,144.6,1.9,1.83,2.5,0,80.0,-0.6,-0.67,0
2005,MOZ,60,1.97,1.88,2.62,0,94.0,-0.53,-0.62,0.12
2006,MOZ,20,1.88,1.89,3.02,0,87.5,-0.62,-0.61,0.52
2007,MOZ,40,1.98,1.9,2.86,0,100.0,-0.52,-0.6,0.36
2008,MOZ,81.3,2.01,1.89,2.88,0,118.0,-0.49,-0.61,0.38
2009,MOZ,81.3,2.06,1.91,3.13,0,108.0,-0.44,-0.59,0.63
2010,MOZ,12.6,2.05,2.03,2.89,0,146.0,-0.45,-0.47,0.39
2011,MOZ,37.3,2.01,1.93,2.83,0,336.0,-0.49,-0.57,0.33
2012,MOZ,82,1.93,1.91,2.89,0,292.0,-0.57,-0.59,0.39
2013,MOZ,41.3,1.9,1.68,2.27,0,318.0,-0.6,-0.82,-0.23
2014,MOZ,22.6,1.83,1.69,2.16,0,269.0,-0.67,-0.81,-0.34
2002,ETH,30.6,1.92,1.56,1.28,0,80.5,-0.58,-0.94,-1.22
2003,ETH,32.6,1.84,1.67,1.09,0,80.2,-0.66,-0.83,-1.41
2004,ETH,34,1.77,1.64,1.19,0,80.0,-0.73,-0.86,-1.31
2005,ETH,36.6,1.73,1.56,0.81,0,94.0,-0.77,-0.94,-1.69
2006,ETH,55.3,1.85,1.84,0.76,0,87.5,-0.65,-0.66,-1.74
2007,ETH,60,1.87,1.85,0.7,0,100.0,-0.63,-0.65,-1.8
2008,ETH,76.6,1.84,1.8,0.77,0,118.0,-0.66,-0.7,-1.73
2009,ETH,96.6,1.8,1.67,0.86,0,108.0,-0.7,-0.83,-1.64
2010,ETH,81.3,1.81,1.7,0.86,0,146.0,-0.69,-0.8,-1.64
2011,ETH,92.6,1.84,1.76,0.99,0,336.0,-0.66,-0.74,-1.51
2012,ETH,90.6,1.9,1.82,0.94,0,292.0,-0.6,-0.68,-1.56
2013,ETH,8,2.01,1.85,1.09,0,318.0,-0.49,-0.65,-1.41
2014,ETH,38.6,2.06,2.03,1.16,0,269.0,-0.44,-0.47,-1.34
2002,NGR,9.3,1.07,1.09,0.87,0,80.5,-1.43,-1.41,-1.63
2003,NGR,21.3,1.14,1.07,0.87,0,80.2,-1.36,-1.43,-1.63
2004,NGR,4.6,1.16,1.09,0.75,0,80.0,-1.34,-1.41,-1.75
2005,NGR,4.6,1.34,1.15,0.83,0,94.0,-1.16,-1.35,-1.67
2006,NGR,9.3,1.38,1.43,0.47,0,87.5,-1.12,-1.07,-2.03
2007,NGR,38.6,1.45,1.43,0.49,0,100.0,-1.05,-1.07,-2.01
2008,NGR,69.3,1.61,1.46,0.64,0,118.0,-0.89,-1.04,-1.86
2009,NGR,69.3,1.47,1.35,0.5,0,108.0,-1.03,-1.15,-2
2010,NGR,58.6,1.45,1.34,0.29,0,146.0,-1.05,-1.16,-2.21
2011,NGR,66,1.33,1.32,0.54,0,336.0,-1.17,-1.18,-1.96
2012,NGR,64.6,1.33,1.35,0.46,0,292.0,-1.17,-1.15,-2.04
2013,NGR,60,1.28,1.39,0.41,0,318.0,-1.22,-1.11,-2.09
2014,NGR,60,1.23,1.45,0.37,0,269.0,-1.27,-1.05,-2.13